sensor_A,sensor_B,dist_km,n_obs,pearson_r,pearson_p,spearman_r,spearman_p,z_dist_km,z_pearson_r,z_spearman_r,mahal,outlier_mahal,outlier_z,weight,w_dist,w_corr
NCPT,TAUT,456.0608,31296,0.869667,0.0,0.928492,0.0,0.6701998010135723,1.4224278119009448,1.3592203482026732,1.4587960676683451,False,False,,,
CPIT,AUCT,469.2958,31318,0.500366,0.0,0.50085,0.0,0.6430271242236102,0.6943613406162701,0.5765300339350145,0.9377487979846696,False,False,,,
WLGT,MNKT,471.7991,31257,-0.445874,0.0,-0.651014,0.0,0.6378876182312935,1.1711240433615973,1.5316651296681922,2.2098501272181683,False,False,,,
WLGT,AUCT,495.1625,31317,0.263086,0.0,0.26933,0.0,0.5899204012373681,0.2265705349958478,0.1527913423208877,0.6800185923282781,False,False,,,
WLGT,LOTT,506.5178,31313,0.598084,0.0,0.602843,0.0,0.5666069220720447,0.8870096124622597,0.7632023748722969,1.0244853966717915,False,False,,,
CPIT,GBIT,527.7334,31293,0.057968,0.0,0.20976,0.0,0.5230493367524286,0.1778137977218265,0.043763552672246,0.8797437469841404,False,False,,,
NAPT,CHST,535.3743,31280,-0.745517,0.0,-0.749506,0.0,0.5073618636822042,1.7618617387784894,1.7119297772772912,2.0191691306814934,False,False,,,
GIST,KAIT,552.9838,31291,0.149082,0.0,0.643551,0.0,0.4712079345599647,0.0018148749994275,0.8377080532509591,2.8727811577874007,False,False,,,
NBRT,PUYT,563.1286,31317,-0.730905,0.0,-0.752845,0.0,0.4503797236420343,1.7330545942584052,1.718040970657127,1.9810645037623773,False,False,,,
NBRT,NAPT,567.589,31321,0.808878,0.0,0.827314,0.0,0.4412221106798924,1.3025840185645496,1.1740396582401036,1.3343491124001745,False,False,,,
WLGT,GBIT,569.9063,31292,0.07368,0.0,0.218551,0.0,0.436464479858179,0.1468380343287547,0.0598532504866024,0.7907286785141464,False,False,,,
TAUT,KAIT,570.9516,31322,0.409494,0.0,0.411357,0.0,0.4343183824612354,0.5152097640470734,0.4127357754319777,0.6946318667426012,False,False,,,
NCPT,LOTT,576.8991,31288,0.758203,0.0,0.807525,0.0,0.4221076159173518,1.2026796900294228,1.1378209083768007,1.2085363069818202,False,False,,,
KAIT,MNKT,600.6926,31258,-0.47842,0.0,-0.757726,0.0,0.3732573639187146,1.235287561398188,1.7269744042860515,2.4804430375575963,False,False,,,
CHST,MNKT,601.0428,31217,0.534479,0.0,0.877764,0.0,0.3725383709899767,0.7616141548110168,1.2663755989447198,2.00303508598617,False,False,,,
WLGT,OTAT,604.4443,31318,0.66631,0.0,0.673218,0.0,0.3655547774802635,1.021515240851753,0.8920059789771007,1.0751980423182328,False,False,,,
CHST,PUYT,605.0792,31276,0.835326,0.0,0.837484,0.0,0.3642512691694249,1.354725502157979,1.192653266108606,1.400777407957754,False,False,,,
CHST,TAUT,623.6247,31281,-0.282468,0.0,-0.282479,0.0,0.3261756456402794,0.8489737383076074,0.8571552008758108,1.0402358295686245,False,False,,,
AUCT,KAIT,627.5201,31318,0.269098,0.0,0.274664,0.0,0.3181780298361527,0.2384230228725757,0.1625538776572291,0.4553441068821113,False,False,,,
CHST,AUCT,633.1687,31277,-0.160779,0.0,-0.164672,0.0,0.3065809325852437,0.6090673182758155,0.6415393402893154,0.8202391770131338,False,False,,,
NCPT,GIST,649.3193,31265,0.04897,0.0,0.368672,0.0,0.273422259841461,0.1955531001028639,0.3346116995355153,1.803154419646314,False,False,,,
NAPT,NCPT,659.4133,31295,0.402113,0.0,0.430058,0.0,0.2526983460131363,0.5006583314093275,0.4469632170002042,0.535379194616692,False,False,,,
KAIT,LOTT,660.4544,31314,0.6133,0.0,0.616933,0.0,0.2505608716039162,0.9170075258907844,0.7889905493921786,0.9674914583902116,False,False,,,
CHST,GIST,663.8632,31250,-0.190724,0.0,-0.558233,0.0,0.2435622905203028,0.6681030384136424,1.3618530203616517,2.7242353644941915,False,False,,,
NBRT,GIST,696.0288,31291,0.042657,0.0,0.472049,0.0,0.1775233443506612,0.2079990009621092,0.5238171017599175,2.503909146574943,False,False,,,
KAIT,PUYT,697.9282,31317,-0.76608,0.0,-0.780033,0.0,0.1736237008074159,1.802401111401436,1.7678017150749088,1.9213229584756024,False,False,,,
CPIT,CHIT,699.0985,31322,0.964489,0.0,0.963921,0.0,0.1712209668710885,1.609366701695869,1.424064154807705,1.6597182853719603,False,False,0.2929867839852567,6.108973056593293e-05,0.9764800705795348
GBIT,KAIT,708.8587,31293,0.068851,0.0,0.187001,0.0,0.1511823752575343,0.1563582711811696,0.002108970422566,0.5526578041989165,False,False,,,
OTAT,CPIT,709.4384,31319,0.653526,0.0,0.650928,0.0,0.1499921976424878,0.9963119466042334,0.8512097823803535,1.053692559757761,False,False,,,
NBRT,TAUT,713.9809,31322,0.290067,0.0,0.29822,0.0,0.1406660258012786,0.2797628130068249,0.2056671664429165,0.3702700717475546,False,False,,,
